ts,xs
797,-2.052
798,-1.9791
799,-1.8882
800,-1.8422
801,-1.81
802,-1.7822
803,-1.7624
804,-1.7374
805,-1.7119
806,-1.695
807,-1.6832
808,-1.6659
809,-1.6499
810,-1.636
811,-1.6237
812,-1.6105
813,-1.5954
814,-1.5775
815,-1.561
816,-1.545
817,-1.5286
818,-1.5137
819,-1.5342
820,-1.492
821,-1.4569
822,-1.4441
823,-1.4341
824,-1.4254
825,-1.3917
826,-1.3724
827,-1.3462
828,-1.3208
829,-1.3
830,-1.2845
831,-1.2707
832,-1.2559
833,-1.246
834,-1.2378
835,-1.2324
836,-1.2231
837,-1.2132
838,-1.204
839,-1.196
840,-1.1897
841,-1.1861
842,-1.1824
843,-1.1785
844,-1.175
845,-1.1717
846,-1.1683
847,-1.1644
848,-1.1565
849,-1.0781
850,0.8085
851,5.4441
852,0.1474
853,-0.5769
854,0.3452
855,0.0782
856,1.8261
857,4.9797
858,6.1013
859,6.9568
860,5.2963
861,4.4991
862,2.0283
863,2.5073
864,4.164
865,9.6892
866,10.8941
867,10.1319
868,10.8334
869,9.8633
870,12.2751
871,10.11
872,7.3581
873,10.6197
874,9.0911
875,9.1726
876,10.2848
877,11.4574
878,10.8528
879,12.1067
880,14.792
881,16.0078
882,16.1642
883,10.4459
884,9.5602
885,9.625
886,10.2128
887,8.8461
888,9.1505
889,10.4671
890,11.9656
891,10.6479
892,13.7405
893,15.9314
894,14.082
895,14.9782
896,14.2176
897,15.7397
898,15.6705
899,12.7485
900,12.8711
901,15.3565
902,15.1056
903,18.4422
904,16.5986
905,17.3
906,18.385
907,19.6728
908,19.3465
909,19.0772
910,17.8644
911,17.3376
912,16.8905
913,17.6573
914,17.1753
915,17.8008
916,19.2884
917,21.3497
918,19.0904
919,20.681
920,21.0441
921,18.1749
922,16.9126
923,18.2482
924,21.906
925,22.4302
926,19.0878
927,19.7479
928,22.6526
929,22.6021
930,24.0435
931,21.385
932,16.4433
933,16.896
934,18.6474
935,16.3821
936,16.9241
937,16.8487
938,13.2147
939,11.9029
940,14.2757
941,15.2879
942,16.6668
943,16.7926
944,16.7132
945,15.4999
946,14.138
947,13.9712
948,15.7345
949,15.0931
950,15.199
951,15.2098
952,13.1868
953,15.4019
954,15.321
955,14.552
956,12.7995
957,14.1384
958,14.8808
959,16.3635
960,17.1165
961,18.9828
962,21.5295
963,22.2009
964,21.198
965,16.7699
966,16.565
967,22.2049
968,25.5366
969,23.603
970,22.7369
971,22.3455
972,19.3078
973,20.8649
974,19.7941
975,16.5927
976,13.8984
977,15.2065
978,15.6698
979,13.9635
980,19.4737
981,19.5708
982,14.3824
983,16.7042
984,18.0144
985,15.8965
986,12.6361
987,12.0981
988,13.4568
989,11.3992
990,9.3327
991,11.6799
992,15.1366
993,17.7358
994,12.8319
995,9.9171
996,10.2665
997,14.5341
998,13.4814
999,12.6428
1000,15.5152
1001,17.4969
1002,14.5262
1003,11.9146
1004,15.3807
1005,13.3152
1006,9.5477
1007,10.0089
1008,10.9057
1009,9.1482
1010,7.8597
1011,7.0816
1012,10.7399
1013,11.3356
1014,12.895
1015,14.2903
1016,10.5506
1017,6.8868
1018,6.3943
1019,7.0215
1020,5.842
1021,5.7786
1022,3.6928
1023,3.3021
1024,2.0489
1025,0.4274
1026,0.0
1027,0.0
1028,0.0
1029,0.721
1030,0.0209
1031,0.0727
1032,-0.1327
1033,-0.5866
1034,0.1497
1035,0.0
1036,0.0
1037,-0.091
1038,-0.3154
1039,0.0037
1040,-0.0192
1041,-0.3025
1042,-1.1441
1043,-1.9755
1044,-0.1468
1045,-0.0202
1046,-0.9684
1047,-1.6312
1048,-1.3069
1049,-0.4647
1050,0.0259
1051,0.0
1052,0.0076
1053,-0.1475
1054,-0.4508
1055,0.0351
1056,-0.0844
1057,-0.8749
1058,-1.8732
1059,-2.6911
1060,-1.8088
1061,-1.7756
1062,-2.3604
1063,-2.6257
1064,-3.1766
1065,-2.753
1066,-2.3011
1067,-2.1786
1068,-1.7521
1069,-1.6997
1070,-2.0668
1071,-3.0615
1072,-4.1998
1073,-5.0541
1074,-5.0513
1075,-5.2958
1076,-5.5013
1077,-5.3563
1078,-5.0235
1079,-4.8702
1080,-4.9979
1081,-4.9986
1082,-4.4744
1083,-4.338
1084,-4.0262
1085,-4.1902
1086,-4.135
1087,-3.9004
1088,-4.2335
1089,-4.9585
1090,-4.5381
1091,-4.4329
1092,-4.0039
1093,-3.1018
1094,-3.2574
1095,-3.9533
1096,-4.5031
1097,-4.8871
1098,-5.2029
1099,-5.1071
1100,-4.543
1101,-4.7153
1102,-5.0548
1103,-5.1982
1104,-5.2338
1105,-5.0578
1106,-4.3278
1107,-3.5882
1108,-3.0254
1109,-2.6448
1110,-2.7004
1111,-2.8796
1112,-2.8179
1113,-2.9587
1114,-3.0343
1115,-2.7734
1116,-2.8044
1117,-3.2595
1118,-3.4548
1119,-3.7694
1120,-3.6721
1121,-3.5119
1122,-3.5807
1123,-3.8286
1124,-4.1235
1125,-4.1779
1126,-3.9034
1127,-4.0678
1128,-4.0187
1129,-4.0913
1130,-4.1015
1131,-4.1414
1132,-4.1801
1133,-4.1963
1134,-4.1146
1135,-4.1573
1136,-4.1193
1137,-4.212
1138,-4.3905
1139,-4.2828
1140,-3.9876
1141,-3.8933
1142,-3.8791
1143,-3.8611
1144,-3.6201
1145,-3.3174
1146,-2.8455
1147,-2.6816
1148,-2.5937
1149,-2.5381
1150,-2.4866
1151,-2.4406
1152,-2.411
1153,-2.3863
1154,-2.3695
1155,-2.3548
1156,-2.3337
1157,-2.3338
1158,-2.3275
1159,-2.2982
1160,-2.2701
1161,-2.2163
1162,-2.15
1163,-2.1022
1164,-2.0492
1165,-1.9902
1166,-1.9444
1167,-1.9127
1168,-1.8806
1169,-1.8403
1170,-1.8135
1171,-1.7969
1172,-1.7708
1173,-1.7414
1174,-1.713
1175,-1.6876
1176,-1.6599
1177,-1.6432
1178,-1.6338
1179,-1.6245
1180,-1.6113
1181,-1.6009
1182,-1.5824
1183,-1.5649
1184,-1.5483
1185,-1.5271
1186,-1.5047
1187,-1.4893
1188,-1.4783
1189,-1.4654
1190,-1.4543
1191,-1.4436
1192,-1.4321
1193,-1.4205
1194,-1.4092
1195,-1.3984
1196,-1.3765
1197,-1.3515
1198,-1.3257
1199,-1.3043
1200,-1.2926
1201,-1.289
1202,-1.2822
1203,-1.27
1204,-1.2574
1205,-1.2362
1206,-1.2139
1207,-1.1262
1208,-1.0287
1209,-0.9577
1210,-0.8786
1211,-0.8502
1212,-0.8235
1213,-0.7764
1214,-0.7196
1215,-0.0642
1216,0.0
1217,-0.0087
1218,-0.1598
1219,-0.0003
1220,-0.073
1221,0.0
1222,-0.0576
1223,7.3663
1224,6.5457
1225,4.8992
1226,8.291
1227,12.6263
1228,7.0721
1229,6.6641
1230,4.1487
1231,4.2417
1232,5.1557
1233,7.5196
1234,9.9808
1235,9.7135
1236,13.9417
1237,10.331
1238,11.5716
1239,12.6183
1240,16.2169
1241,16.8517
1242,17.8073
1243,16.765
1244,15.3937
1245,16.1746
1246,18.2059
1247,17.9055
1248,18.5067
1249,16.7099
1250,15.5716
1251,15.77
1252,14.0492
1253,17.1245
1254,14.0301
1255,12.9131
1256,14.101
1257,15.6668
1258,14.686
1259,10.8758
1260,12.6311
1261,12.316
1262,12.5393
1263,16.2911
1264,18.604
1265,18.9103
1266,15.783
1267,18.4804
1268,18.2593
1269,19.3478
1270,18.8524
1271,16.2782
1272,14.4554
1273,16.4124
1274,18.666
1275,21.124
1276,20.1374
1277,19.9812
1278,15.6831
1279,15.5868
1280,15.612
1281,16.0502
1282,21.1333
1283,20.6507
1284,19.2837
1285,16.3265
1286,15.7551
1287,17.8577
1288,19.9949
1289,17.7656
1290,15.2817
1291,13.5036
1292,15.1921
1293,14.9946
1294,16.3944
1295,18.0853
1296,19.5754
1297,20.6524
1298,23.863
1299,20.2508
1300,16.8725
1301,17.0915
1302,18.4611
1303,19.2378
1304,16.4379
1305,17.0684
1306,16.9651
1307,17.2876
1308,17.9112
1309,17.9157
1310,18.0614
1311,17.1704
1312,15.7304
1313,16.9929
1314,18.2903
1315,16.8962
1316,18.4934
1317,18.6568
1318,18.7573
1319,17.7292
1320,16.5514
1321,16.6314
1322,15.6739
1323,19.7024
1324,20.1676
1325,16.0586
1326,16.6771
1327,17.7508
1328,16.5963
1329,17.8083
1330,19.3148
1331,19.3538
1332,19.5366
1333,15.3487
1334,13.787
1335,13.7992
1336,14.8998
1337,16.4766
1338,16.0873
1339,17.0447
1340,16.4182
1341,14.8213
1342,16.4784
1343,17.8634
1344,14.517
1345,13.85
1346,15.8824
1347,17.1345
1348,13.3957
1349,8.7482
1350,7.6004
1351,6.5073
1352,7.9396
1353,9.6254
1354,8.5119
1355,10.9308
1356,11.0233
1357,10.9415
1358,13.6281
1359,14.0052
1360,11.6047
1361,11.0453
1362,11.8867
1363,14.738
1364,14.7357
1365,14.9969
1366,16.2434
1367,14.3777
1368,10.1354
1369,9.4931
1370,10.2046
1371,10.7227
1372,6.2937
1373,5.7513
1374,6.0143
1375,5.9066
1376,4.8351
1377,5.3303
1378,4.389
1379,3.2675
1380,4.9256
1381,8.8172
1382,7.4822
1383,6.6826
1384,5.9303
1385,8.829
1386,8.4521
1387,5.2265
1388,8.2027
1389,6.4558
1390,5.9225
1391,8.4794
1392,9.2427
1393,10.3121
1394,8.4198
1395,6.4193
1396,7.1628
1397,5.1149
1398,3.9203
1399,3.0044
1400,0.2615
1401,0.762
1402,3.1073
1403,4.1916
1404,3.4963
1405,1.5549
1406,1.9748
1407,2.0953
1408,1.0951
1409,-2.2725
1410,-3.0852
1411,-2.9875
1412,-2.778
1413,-4.4099
1414,-7.1532
1415,-7.4288
1416,-6.883
1417,-6.8566
1418,-6.2892
1419,-5.0509
1420,-8.0501
1421,-4.1679
1422,-0.6475
1423,0.0789
1424,-3.7502
1425,-5.7562
1426,-6.2802
1427,-9.1771
1428,-5.1821
1429,-3.0733
1430,-6.581
1431,-7.7207
1432,-5.2223
1433,-5.1573
1434,-4.4345
1435,-2.5287
1436,-4.3713
1437,-1.6518
1438,-1.9354
1439,-3.561
1440,-2.6367
1441,-1.8666
1442,-1.1494
1443,-0.4032
1444,0.0
1445,-0.1187
1446,-1.7509
1447,-3.2059
1448,-4.3487
1449,-3.0703
1450,-2.0203
1451,-1.3923
1452,-0.7816
1453,-0.3502
1454,-0.0102
1455,-0.1663
1456,-0.7193
1457,-1.9159
1458,-3.5269
1459,-5.6507
1460,-6.4697
1461,-5.8852
